Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
The Sparkling Touch,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105820188/the-sparkling-touch,3.3,-1,"Trad, Boulder",V8,1,20.0,41.18484,-105.37826,,V8,
V3+,Buford > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/107929135/v3,2.0,-1,Boulder,V3+,1,10.0,41.18484,-105.37826,,V3+,
Tulip Crack,Buford > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105861007/tulip-crack,3.8,-1,"Trad, Boulder",5.11 V4,1,20.0,41.18484,-105.37826,5.11,V4,
Twistor,Home on the Range Rock (temporary name) > Coyote Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111050044/twistor,4.0,-1,"TR, Boulder",V10,1,20.0,41.18484,-105.37826,,V10,
The Ninja Two Step,Hobgoblin Boulders > Telephone Road > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/107193508/the-ninja-two-step,2.0,-1,Boulder,V5,1,10.0,41.27543,-105.3231,,V5,
The Hobgoblin,Hobgoblin Boulders > Telephone Road > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105834147/the-hobgoblin,4.0,-1,"Trad, Boulder",5.12- V6,1,15.0,41.27543,-105.3231,5.12-,V6,
The Bag Lady,Eagle Rock > Telephone Road > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106369550/the-bag-lady,3.5,-1,Boulder,V6,1,15.0,41.3183,-105.3351,,V6,
Eagle Rock Dyno,Eagle Rock > Telephone Road > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/123672215/eagle-rock-dyno,4.0,-1,Boulder,V6,1,10.0,41.3183,-105.3351,,V6,
Seven Levels of Purgatory,Telephone Road Boulders > Telephone Road > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105852692/seven-levels-of-purgatory,3.0,-1,Boulder,V2,1,,41.3183,-105.3351,,V2,
Thunderstorm is Coming,Telephone Road Boulders > Telephone Road > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105852679/thunderstorm-is-coming,3.2,-1,Boulder,V3,1,,41.3183,-105.3351,,V3,
Go To a Happy Place aka Sloppy Seconds,Telephone Road Boulders > Telephone Road > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105852664/go-to-a-happy-place-aka-sloppy-seconds,3.5,-1,Boulder,V4,1,,41.3183,-105.3351,,V4,
